startNodeId,endNodeId,relationshipType,strength,establishedYear,description
1,6,供应关系,90,2008,特斯拉从宁德时代采购动力电池
1,7,供应关系,95,2010,特斯拉与松下深度合作电池技术
1,9,技术合作,85,2019,特斯拉使用英伟达自动驾驶芯片
2,6,供应关系,100,2012,比亚迪与宁德时代在电池领域合作
3,6,供应关系,90,2018,蔚来从宁德时代采购电池包
3,15,技术合作,80,2019,蔚来与华为在智能驾驶领域合作
3,11,供应关系,75,2021,蔚来采用地平线自动驾驶芯片
4,6,供应关系,85,2019,理想汽车采用宁德时代电池
4,10,供应关系,90,2020,理想汽车使用高通车载芯片
5,6,供应关系,80,2018,小鹏汽车从宁德时代采购电池
5,9,技术合作,85,2021,小鹏汽车采用英伟达自动驾驶平台
6,21,供应关系,90,2015,宁德时代从天齐锂业采购锂原料
6,22,供应关系,85,2016,宁德时代从赣锋锂业采购锂化合物
7,21,供应关系,80,2014,松下从天齐锂业采购锂材料
8,22,供应关系,85,2018,LG新能源从赣锋锂业采购锂化合物
9,1,技术授权,90,2019,英伟达为特斯拉提供AI计算平台
9,5,技术授权,85,2021,英伟达为小鹏汽车提供自动驾驶解决方案
10,4,供应关系,90,2020,高通为理想汽车提供车载处理器
11,3,供应关系,80,2021,地平线为蔚来提供自动驾驶芯片
11,33,技术合作,75,2020,地平线与上汽集团合作智能驾驶
12,35,供应关系,70,2022,黑芝麻智能为长城汽车提供芯片
13,1,技术合作,60,2020,百度Apollo与特斯拉在自动驾驶领域交流
13,33,技术合作,85,2019,百度Apollo与上汽集团深度合作
15,3,技术合作,90,2019,华为为蔚来提供智能座舱解决方案
15,35,技术合作,80,2021,华为与长城汽车合作智能驾驶
15,36,技术合作,75,2020,华为与吉利汽车合作智能网联
16,1,软件服务,70,2018,腾讯为特斯拉提供车载娱乐服务
16,3,软件服务,85,2020,腾讯为蔚来提供车联网服务
17,33,技术合作,90,2018,阿里巴巴与上汽集团合作斑马系统
17,36,软件服务,80,2021,阿里巴巴为吉利汽车提供车载系统
18,1,基础设施,75,2019,国家电网为特斯拉充电网络提供电力支持
18,19,合作关系,80,2018,国家电网与特来电在充电网络建设合作
19,3,充电服务,85,2019,特来电为蔚来提供充电桩服务
20,4,充电服务,80,2020,星星充电为理想汽车提供充电服务
21,6,供应关系,95,2015,天齐锂业向宁德时代供应锂精矿
22,6,供应关系,90,2016,赣锋锂业向宁德时代供应锂化合物
22,8,供应关系,85,2018,赣锋锂业向LG新能源供应锂材料
24,3,软件服务,80,2020,中科创达为蔚来提供智能座舱系统
25,5,技术合作,85,2019,四维图新为小鹏汽车提供高精度地图
26,1,供应关系,85,2018,博世为特斯拉提供汽车零部件
26,33,供应关系,90,2010,博世为上汽集团提供汽车系统
27,2,供应关系,80,2017,大陆集团为比亚迪提供汽车电子
28,4,供应关系,75,2020,法雷奥为理想汽车提供热管理系统
29,5,供应关系,80,2021,安波福为小鹏汽车提供电气化解决方案
30,3,供应关系,70,2019,均胜电子为蔚来提供汽车电子产品
31,35,供应关系,85,2018,德赛西威为长城汽车提供智能座舱
32,33,供应关系,95,2005,华域汽车为上汽集团提供零部件集成
33,3,投资关系,90,2019,上汽集团投资蔚来汽车
34,4,投资关系,80,2021,广汽集团与理想汽车战略合作
35,12,技术合作,75,2022,长城汽车与黑芝麻智能合作自动驾驶
36,17,技术合作,85,2021,吉利汽车与阿里巴巴深化智能网联合作
37,1,合作关系,70,2020,滴滴出行与特斯拉在出行服务合作
37,3,合作关系,85,2021,滴滴出行与蔚来在换电服务合作
39,5,供应关系,80,2022,激光雷达厂商为小鹏汽车提供感知设备
40,4,供应关系,75,2023,禾赛科技为理想汽车提供激光雷达